ma_xa;ten_xa;loai;ma_huyen;ten_huyen;dan_so;Income(mil. VND);pop_serve(after);pop_serve_air(after);%serve;LOS;;Income;;;;dan_so (person);Income (Mil. VND);LOS;;;;;;;;;;;;;;;;;;;;;;
22477;Cam Thịnh Tây;Xã;569;Cam Ranh;1964;90,7836;0;0;0,0%;F;;low-income;;;;1964;90,7836;F;;;;;;;;;;;;;;;;;;;;;;
22426;Cam Thuận;Phường;569;Cam Ranh;12947;117,015;7656;7704;59,1%;E;;higher-middle income;;;;12947;117,015;E;;;;;;;;;;;;;;;;;;;;;;
22465;Cam An Bắc;Xã;570;Cam Lâm;5206;147,8500625;0;0;0,0%;F;;higher-middle income;;;;5206;147,8500625;F;;;;;;;;;;;;;;;;;;;;;;
22471;Cam An Nam;Xã;570;Cam Lâm;5027;147,8500625;3572;3572;71,1%;C;;higher-middle income;;;;5027;147,8500625;C;;;;;;;;;;;;;;;;;;;;;;
22453;Cam Đức;Thị trấn;570;Cam Lâm;18118;113,47325;9980;11131;55,1%;E;;higher-middle income;;;;18118;113,47325;E;;;;;;;;;;;;;;;;;;;;;;
22441;Cam Hải Đông;Xã;570;Cam Lâm;7521;182,885;2273;2335;30,2%;F;;high-income;;;;7521;182,885;F;;;;;;;;;;;;;;;;;;;;;;
22444;Cam Hải Tây;Xã;570;Cam Lâm;6857;147,8500625;1105;1105;16,1%;F;;higher-middle income;;;;6857;147,8500625;F;;;;;;;;;;;;;;;;;;;;;;
22450;Cam Hiệp Bắc;Xã;570;Cam Lâm;3303;147,8500625;1998;2082;60,5%;D;;higher-middle income;;;;3303;147,8500625;D;;;;;;;;;;;;;;;;;;;;;;
22456;Cam Hiệp Nam;Xã;570;Cam Lâm;5995;147,8500625;4551;4551;75,9%;C;;higher-middle income;;;;5995;147,8500625;C;;;;;;;;;;;;;;;;;;;;;;
22438;Cam Hòa;Xã;570;Cam Lâm;13394;218,695666666667;5186;5633;38,7%;F;;high-income;;;;13394;218,695666666667;F;;;;;;;;;;;;;;;;;;;;;;
22459;Cam Phước Tây;Xã;570;Cam Lâm;5581;65,522;2243;2334;40,2%;F;;low-income;;;;5581;65,522;F;;;;;;;;;;;;;;;;;;;;;;
22435;Cam Tân;Xã;570;Cam Lâm;6882;147,8500625;742;754;10,8%;F;;higher-middle income;;;;6882;147,8500625;F;;;;;;;;;;;;;;;;;;;;;;
